Year,Honor,Name,Country,Birth Year,Death Year,Title,Category,Context
1972,Men of the Year,Richard Nixon,United States,1913,1994,President of the United States,Politics,Presidential Election
1972,Men of the Year,Henry Kissinger,United States,,,National Security Advisor,Diplomacy,United States/China
1973,Man of the Year,John Sirica,United States,1904,1992,Chief Judge of the United States District Court (District of Columbia),Politics,Presidential Impeachment
1974,Man of the Year,King Faisal,Saudi Arabia,1906,1975,King of Saudi Arabia,Economics,Oil Crisis
1975,Women of the Year,American Women,United States,,,,Politics,Feminist Movement
1976,Man of the Year,Jimmy Carter,United States,1924,,President of the United States,Politics,Presidential Election
1977,Man of the Year,Anwar Sadat,Egypt,1918,1981,President of Egypt,Diplomacy,Egypt/Israel
1978,Man of the Year,Deng Xiaoping,China,1904,1997,Paramount Leader of the People’s Republic of China,Politics,
1979,Man of the Year,Ayatollah Khomeini,Iran,1902,1989,Supreme Leader of Iran,Revolution,Iranian Revolution
1980,Man of the Year,Ronald Reagan,United States,1911,2004,President of the United States,Politics,Presidential Election
1981,Man of the Year,Lech Wałęsa,Poland,1943,,Chairperson of Solidarity (Polish Trade Union),Politics,Gdańsk Agreement
1982,Machine of the Year,The Computer,,,,,Technology,
1983,Men of the Year,Ronald Reagan,United States,1911,2004,President of the United States,War,"Strategic Defense Initiative, Cold War"
1983,Men of the Year,Yuri Andropov,Soviet Union,1914,1984,General Secretary of the Communist Party of the Soviet Union,War,"Strategic Defense Initiative, Cold War"
1984,Man of the Year,Peter Ueberroth,United States,1937,,President of the 1984 Summer Olympic Games Organizing Committee,Politics,Olympic Games
1985,Man of the Year,Deng Xiaoping,China,1904,1997,Paramount Leader of the People’s Republic of China,Politics,Economic Reforms
1986,Woman of the Year,Corazon Aquino,Philippines,1933,2009,President of the Philippines,Revolution,Philippine Revolution
1987,Man of the Year,Mikhail Gorbachev,Soviet Union,1931,,General Secretary of the Communist Party of the Soviet Union,Politics,Political Reforms
1988,Planet of the Year,The Endangered Earth,,,,,Environment,
1989,Man of the Decade,Mikhail Gorbachev,Soviet Union,1931,,President of the Soviet Union,Politics,Democratic Elections
1990,Man of the Year,George H. W. Bush,United States,1924,,President of the United States,War,Gulf War
1991,Man of the Year,Ted Turner,United States,1938,,Founder of CNN,Media,
1992,Man of the Year,Bill Clinton,United States,1946,,President of the United States,Politics,Presidential Election
1993,Men of the Year,The Peacemakers (Yitzhak Rabin),Israel,1922,1995,Prime Minister of Israel,Diplomacy,Oslo Accord
1993,Men of the Year,The Peacemakers (Yasser Arafat),Palestine,1929,2004,President of the Palestinian National Authority,Diplomacy,Oslo Accord
1993,Men of the Year,The Peacemakers (F. W. de Klerk),South Africa,1936,,State President of South Africa,Politics,End of Apartheid
1993,Men of the Year,The Peacemakers (Nelson Mandela),South Africa,1918,2013,President of South Africa,Politics,End of Apartheid
1994,Man of the Year,Pope John Paul II,Vatican City,1920,2005,Pope of the Roman Catholic Church,Religion,
1995,Man of the Year,Newt Gingrich,United States,1943,,Speaker of the House,Politics,Congressional Elections
1996,Man of the Year,David Ho,United States,1952,,Director of AIDS Research Center,Science,AIDS Research
1997,Man of the Year,Andrew Grove,United States,1936,2016,CEO of Intel,Technology,
1998,Men of the Year,Bill Clinton,United States,1946,,President of the United States,Politics,Presidential Impeachment
1998,Men of the Year,Ken Starr,United States,1946,,Office of the Independent Counsel,Politics,Presidential Impeachment
1999,Person of the Year,Jeff Bezos,United States,1964,,Founder and CEO of Amazon,Technology,
1999,Person of the Century,Albert Einstein,United States,,,,Science,
2000,Person of the Year,George W. Bush,United States,1946,,President of the United States,Politics,Presidential Election
2001,Person of the Year,Rudy Giuliani,United States,1944,,Mayor of New York City,War,9/11 Terrorist Attacks
2002,Persons of the Year,The Whistleblowers (Cynthia Cooper),United States,,,Vice President of Internal Audit at WorldCom,Economics,Corporate Fraud
2002,Persons of the Year,The Whistleblowers (Coleen Rowley),United States,1954,,FBI Special Agent,Politics,9/11 Terrorist Attacks
2002,Persons of the Year,The Whistleblowers (Sherron Watkins),United States,1959,,Vice President of Corporate Development at Enron,Economics,Corporate Fraud
2003,Person of the Year,The American Soldier,United States,,,,War,Iraq War
2004,Person of the Year,George W. Bush,United States,1946,,President of the United States,Politics,Presidential Election
2005,Persons of the Year,The Good Samaritans (Bono),Ireland,1960,,Lead Singer of U2,Philanthropy,Charity Concerts
2005,Persons of the Year,The Good Samaritans (Bill Gates),United States,1955,,Founder of Bill & Melinda Gates Foundation,Philanthropy,
2005,Persons of the Year,The Good Samaritans (Melinda Gates),United States,1964,,Founder of Bill & Melinda Gates Foundation,Philanthropy,
2006,Person of the Year,You,,,,,Technology,World Wide Web
2007,Person of the Year,Vladimir Putin,Russia,1952,,President of the Russian Federation,Politics,
2008,Person of the Year,Barack Obama,United States,1961,,President of the United States,Politics,Presidential Election
2009,Person of the Year,Ben Bernanke,United States,1953,,Chairman of the Federal Reserve,Economics,Financial Crisis
2010,Person of the Year,Mark Zuckerberg,United States,1984,,Founder and CEO of Facebook,Technology,
2011,Person of the Year,The Protester,,,,,Revolution,Arab Spring
2012,Person of the Year,Barack Obama,United States,1961,,President of the United States,Politics,Presidential Election
2013,Person of the Year,Pope Francis,Vatican City,1936,,Pope of the Roman Catholic Church,Religion,Papal Conclave
2014,Person of the Year,The Ebola Fighters,,,,,Science,Ebola Epidemic
2015,Person of the Year,Angela Merkel,Germany,1954,,Chancellor of Germany,Politics,Debt Crisis; Refugee Crisis; Paris Terrorist Attacks
2016,Person of the Year,Donald Trump,United States,1946,,President of the United States,Politics,Presidential Election
